fips,name,total_beds,population,confirmed_cases,healthcareworker,deaths,hc_cases_share,hc_per_100k_pop,hc_per_100_hosp_beds,longitude,latitude
06061,Placer,748.0,380077.0,129.0,25.0,7.0,19.38,6.58,3.34,-120.71774303360498,39.06341907859605
06023,Humboldt,299.0,135768.0,52.0,10.0,0.0,19.23,7.37,3.34,-123.87328111310107,40.6987343902251
06057,Nevada,176.0,99092.0,34.0,6.0,1.0,17.65,6.05,3.41,-120.76875183282134,39.301369596357866
06087,Santa Cruz,372.0,273765.0,96.0,13.0,2.0,13.54,4.75,3.49,-122.0017407032747,37.05628627602661
06073,San Diego,7361.0,3302833.0,2012.0,246.0,60.0,12.23,7.45,3.34,-116.73302115933524,33.03584530832738
06053,Monterey,801.0,433212.0,100.0,12.0,3.0,12.0,2.77,1.5,-121.23845734866781,36.2165233004096
06077,San Joaquin,1243.0,732212.0,364.0,41.0,17.0,11.26,5.6,3.3,-121.27016732150216,37.934389594125406
06097,Sonoma,1902.0,501317.0,160.0,18.0,2.0,11.25,3.59,0.95,-122.88711415058353,38.528489429918416
06083,Santa Barbara,1089.0,443738.0,334.0,37.0,2.0,11.08,8.34,3.4,-120.01656414975817,34.67317684551138
06059,Orange,8016.0,3164182.0,1376.0,146.0,22.0,10.61,4.61,1.82,-117.76059910088966,33.703166014288215
06019,Fresno,3572.0,978130.0,265.0,27.0,7.0,10.19,2.76,0.76,-119.64932124370915,36.7581795068284
06067,Sacramento,3465.0,1510023.0,853.0,78.0,32.0,9.14,5.17,2.25,-121.33892812087214,38.454484400900874
06013,Contra Costa,1803.0,1133247.0,615.0,56.0,14.0,9.11,4.94,3.11,-121.93106705349665,37.91431342619204
06079,San Luis Obispo,1740.0,281455.0,124.0,11.0,1.0,8.87,3.91,0.63,-120.40387346254018,35.38709910138689
06111,Ventura,1623.0,848112.0,365.0,31.0,13.0,8.49,3.66,1.91,-119.08352782877157,34.45676251030189
06001,Alameda,3746.0,1643700.0,964.0,81.0,36.0,8.4,4.93,2.16,-121.88548387409448,37.646899083079155
06075,San Francisco,4670.0,870044.0,1013.0,65.0,17.0,6.42,7.47,1.39,-122.44301908174643,37.75569012932769
06081,San Mateo,1720.0,765935.0,747.0,46.0,21.0,6.16,6.01,2.67,-122.32924111305184,37.421680664472674
06085,Santa Clara,3740.0,1922200.0,1793.0,109.0,65.0,6.08,5.67,2.91,-121.69456883955478,37.23137454830767
06107,Tulare,2086.0,460477.0,352.0,20.0,15.0,5.68,4.34,0.96,-118.80047284369026,36.220156778872145
06037,Los Angeles,27111.0,10098052.0,10517.0,596.0,405.0,5.67,5.9,2.2,-118.22453057453075,34.32313568177483
06071,San Bernardino,5988.0,2135413.0,996.0,53.0,39.0,5.32,2.48,0.89,-116.17845588321363,34.84143467938157
06065,Riverside,4068.0,2383286.0,2105.0,34.0,54.0,1.62,1.43,0.84,-115.9938588669448,33.7436760398704
06029,Kern,1928.0,883053.0,553.0,6.0,3.0,1.08,0.68,0.31,-118.72990001710113,35.342848717952975
