x,y,objectid,state,ccn,facility_name,street_address,city,zip_code,provider_subtype,days_at_100,percentage_required_fields,required_wed_only,days_total_beds,days_all_adult_hospital_beds,days_inpatient_beds,all_adult_hospital_inpatient,inpatient_beds_used,adult_hospital_inpatient_oc,total_icu_beds,total_staffed_adult_icu_beds,icu_beds_used,staffed_adult_icu_bed_occu,total_ventilators,ventilators_used,adult_hospitalized_conf_susp,adult_hospitalized_conf,pediatric_patients_conf_susp,pediatric_patients_conf,inpatient_ventilators_used,icu_adult_patients_conf_susp,icu_adult_patients_conf,hospital_onset_covid,overflow_covid,overflow_ventilators_used,deaths_covid,previous_day_admit_adult_conf,previous_day_admit_adult_susp,previous_day_admit_susp_all,previous_day_admit_conf_all,previous_day_admit_ped_conf,previous_day_admit_ped_susp,previous_day_total_ed_visits,previous_day_covid_ed_visits,previous_day_remdesivir_used,on_hand_supply_remdesivir,critical_staffing_shortage_to,critical_staffing_shortage_an,ppe_supply_management_source,on_hand_ventilator_supplies,n95_respirators_days_availabl,on_hand_supply_of_surgical_m,on_hand_supply_of_eye_protect,on_hand_supply_of_single_use,on_hand_supply_of_gloves,able_to_obtain_ventilator_s,able_to_obtain_ventilator_m,able_to_obtain_n95_masks,able_to_obtain_paprs,able_to_obtain_surgical_masks,able_to_obtain_eye_protect,able_to_obtain_single_use_g,able_to_obtain_gloves,able_to_maintain_ventilator_s,able_to_maintain_ventilator_m,able_to_maintain_n95_masks,able_to_maintain_paprs,able_to_maintain_surgical,able_to_maintain_eye_protect,able_to_maintain_single_use_g,able_to_maintain_gloves,able_to_maintain_lab_nasal_p,able_to_maintain_lab_nasal_s,able_to_maintain_lab_viral,reusable_isolation_gowns_used,reusable_paprs_or_elastomeric,reusable_n95_masks_used,latitude,longitude,last_updated,geometry,hospital,hospital_subtype,week,county,fips,total_covid_icu_patients,total_available_adult_icu_beds,pct_occupied_adult_icu_beds,all_covid_patients,all_patients,covid_patients_share
-118.4471749,34.32623499,6329,CA,050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,91342,Short Term,6,0.873,No,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34.32623499,-118.4471749,2020/11/30 21:07:00+00,POINT (-118.4471749 34.32623499),LAC/OLIVE VIEW-UCLA MEDICAL CENTER,Short Term,2020-12-18,Los Angeles,037,17.0,5.0,0.8,78.0,187.0,0.42
-118.1585632,34.6893541700001,6336,CA,050056,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,93534,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34.68935417,-118.1585632,2020/11/30 21:07:00+00,POINT (-118.1585632 34.68935417),ANTELOPE VALLEY HOSPITAL,Short Term,2020-12-18,Los Angeles,037,20.0,1.0,0.97,134.0,210.0,0.64
-118.2577502,34.12840241,6338,CA,050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,91204,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34.12840241,-118.2577502,2020/11/30 21:07:00+00,POINT (-118.2577502 34.12840241),GLENDALE MEM HOSPITAL & HLTH CENTER,Short Term,2020-12-18,Los Angeles,037,20.0,0.0,1.0,100.0,161.0,0.62
-118.290582,34.09621801,6340,CA,050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,90027,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34.09621801,-118.290582,2020/11/30 21:07:00+00,POINT (-118.290582 34.09621801),HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Short Term,2020-12-18,Los Angeles,037,19.0,12.0,0.65,91.0,209.0,0.44
-118.303619,33.7382000100001,6350,CA,050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,90732,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33.73820001,-118.303619,2020/11/30 21:07:00+00,POINT (-118.303619 33.73820001),PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,Short Term,2020-12-18,Los Angeles,037,11.0,0.0,1.0,46.0,95.0,0.48
-118.224258,33.9895219900001,6355,CA,050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,90255,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33.98952199,-118.224258,2020/11/30 21:07:00+00,POINT (-118.224258 33.98952199),COMMUNITY HOSPITAL OF HUNTINGTON PARK,Short Term,2020-12-18,Los Angeles,037,9.0,0.0,1.0,38.0,50.0,0.76
-117.945111,34.071158000000004,6357,CA,050096,"WEST COVINA MEDICAL CENTER, INC",725 S ORANGE AVE,WEST COVINA,91790,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34.071158000000004,-117.945111,2020/11/30 21:07:00+00,POINT (-117.945111 34.071158),"WEST COVINA MEDICAL CENTER, INC",Short Term,2020-12-18,Los Angeles,037,0.0,0.0,,0.0,4.0,0.0
-118.194674,33.78847999,6362,CA,050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,90033,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34.0493044,-118.2176219,2020/11/30 21:07:00+00,POINT (-118.2176219 34.0493044),WHITE MEMORIAL MEDICAL CENTER,Short Term,2020-12-18,Los Angeles,037,18.0,1.0,0.96,155.0,244.0,0.64
-118.203108,33.9298440200001,6363,CA,050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,90262,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33.92984402,-118.203108,2020/11/30 21:07:00+00,POINT (-118.203108 33.92984402),SAINT FRANCIS MEDICAL CENTER,Short Term,2020-12-18,Los Angeles,037,23.0,2.0,0.94,101.0,252.0,0.4
-118.4861652,34.0275275500001,6367,CA,050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,90404,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34.02752755,-118.4861652,2020/11/30 21:07:00+00,POINT (-118.4861652 34.02752755),SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,Short Term,2020-12-18,Los Angeles,037,14.0,1.0,0.95,74.0,228.0,0.32
