state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,winner
Alabama,01001,Autauga County,19838,7503,27770,12335,0.714368023046453,0.2701836514223982,0.4441843716240548,Trump
Alabama,01003,Baldwin County,83544,24578,109679,58966,0.7617137282433283,0.22409029987509,0.5376234283682383,Trump
Alabama,01005,Barbour County,5622,4816,10518,806,0.5345122646891044,0.4578817265639855,0.07663053812511889,Trump
Alabama,01007,Bibb County,7525,1986,9595,5539,0.7842626367899947,0.2069828035435122,0.5772798332464826,Trump
Alabama,01009,Blount County,24711,2640,27588,22071,0.8957155284906481,0.0956937799043062,0.8000217485863419,Trump
Alabama,01011,Bullock County,1146,3446,4613,-2300,0.2484283546499024,0.7470192933015392,0.49859093865163673,Biden
Alabama,01013,Butler County,5458,3965,9488,1493,0.5752529510961214,0.4178962900505902,0.1573566610455312,Trump
Alabama,01015,Calhoun County,35101,15216,50983,19885,0.6884843967597042,0.2984524253182433,0.3900319714414609,Trump
Alabama,01017,Chambers County,8753,6365,15284,2388,0.5726903951845067,0.4164485736718136,0.1562418215126931,Trump
Alabama,01019,Cherokee County,10583,1624,12301,8959,0.8603365580034144,0.1320217868465978,0.7283147711568165,Trump
Alabama,01021,Chilton County,16085,3073,19310,13012,0.8329880890730191,0.1591403417918177,0.6738477472812014,Trump
Alabama,01023,Choctaw County,4296,3127,7464,1169,0.5755627009646302,0.4189442658092175,0.15661843515541274,Trump
Alabama,01025,Clarke County,7324,5755,13135,1569,0.5575942139322421,0.4381423677198325,0.11945184621240956,Trump
Alabama,01027,Clay County,5601,1267,6930,4334,0.8082251082251082,0.1828282828282828,0.6253968253968254,Trump
Alabama,01029,Cleburne County,6484,675,7227,5809,0.8971910889719109,0.0933997509339975,0.8037913380379134,Trump
Alabama,01031,Coffee County,16899,5076,22275,11823,0.7586531986531987,0.2278787878787878,0.5307744107744109,Trump
Alabama,01033,Colbert County,19203,8343,27886,10860,0.688625116545937,0.2991823854263788,0.38944273111955824,Trump
Alabama,01035,Conecuh County,3442,2966,6441,476,0.5343890700201832,0.4604875019406924,0.07390156807949083,Trump
Alabama,01037,Coosa County,3631,1796,5479,1835,0.6627121737543348,0.3277970432560686,0.33491513049826616,Trump
Alabama,01039,Covington County,14586,2721,17430,11865,0.8368330464716007,0.1561101549053356,0.6807228915662651,Trump
Alabama,01041,Crenshaw County,4864,1700,6617,3164,0.7350763185733716,0.2569140093698051,0.47816230920356656,Trump
Alabama,01043,Cullman County,36880,4478,41851,32402,0.8812214761893383,0.1069986380253757,0.7742228381639626,Trump
Alabama,01045,Dale County,14303,5170,19738,9133,0.724642820954504,0.2619313000303982,0.46271152092410583,Trump
Alabama,01047,Dallas County,5524,12230,17864,-6706,0.3092252575011195,0.6846171070309002,0.37539184952978066,Biden
Alabama,01049,DeKalb County,24767,4281,29356,20486,0.8436776127537812,0.1458304946177953,0.6978471181359859,Trump
Alabama,01051,Elmore County,30164,10367,41030,19797,0.7351693882524982,0.2526687789422374,0.48250060931026084,Trump
Alabama,01053,Escambia County,10869,4918,15910,5951,0.6831552482715273,0.3091137649277184,0.3740414833438089,Trump
Alabama,01055,Etowah County,35528,11567,47728,23961,0.7443848474689909,0.2423524974857526,0.5020323499832383,Trump
Alabama,01057,Fayette County,7300,1395,8766,5905,0.8327629477526808,0.1591375770020534,0.6736253707506275,Trump
Alabama,01059,Franklin County,10376,2086,12578,8290,0.8249324216886628,0.1658451264111941,0.6590872952774687,Trump
Alabama,01061,Geneva County,10848,1595,12545,9253,0.8647269828616979,0.1271422877640494,0.7375846950976486,Trump
Alabama,01063,Greene County,875,3884,4775,-3009,0.1832460732984293,0.8134031413612566,0.6301570680628272,Biden
Alabama,01065,Hale County,3190,4687,7922,-1497,0.4026760918959858,0.5916435243625348,0.18896743246654896,Biden
Alabama,01067,Henry County,6607,2606,9298,4001,0.7105829210582921,0.2802753280275328,0.43030759303075933,Trump
Alabama,01069,Houston County,32618,12917,46173,19701,0.7064301648149351,0.2797522361553288,0.42667792865960635,Trump
Alabama,01071,Jackson County,19670,3717,23636,15953,0.8322051108478592,0.157260111694026,0.6749449991538332,Trump
Alabama,01073,Jefferson County,138843,181688,325848,-42845,0.426097444207115,0.5575851317178562,0.1314876875107412,Biden
Alabama,01075,Lamar County,6174,978,7193,5196,0.858334491867093,0.1359655220353121,0.7223689698317809,Trump
Alabama,01077,Lauderdale County,31721,11915,44339,19806,0.7154198335551095,0.2687250501815557,0.44669478337355384,Trump
Alabama,01079,Lawrence County,12322,3562,16031,8760,0.7686357681991142,0.2221944981598153,0.5464412700392989,Trump
Alabama,01081,Lee County,42221,27860,71449,14361,0.590924995451301,0.38992848045459,0.20099651499671095,Trump
Alabama,01083,Limestone County,34640,13672,49235,20968,0.7035645374225652,0.2776886361328323,0.4258759012897329,Trump
Alabama,01085,Lowndes County,1836,4972,6835,-3136,0.2686174103877103,0.7274323335771763,0.458814923189466,Biden
Alabama,01087,Macon County,1541,7108,8723,-5567,0.1766594061676029,0.8148572738736674,0.6381978677060645,Biden
Alabama,01089,Madison County,102780,87286,194767,15494,0.5277074658438031,0.4481560017867503,0.07955146405705282,Trump
